config,test_accuracy,test_f1
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=200,0.8028,0.8134
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=200,0.7947,0.8098
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=200,0.8016,0.8097
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=200,0.797,0.8057
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=200,0.8028,0.8023
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=150,0.7982,0.8022
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=150,0.7833,0.8017
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=100,0.7844,0.8017
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=100,0.7821,0.8008
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=200,0.7924,0.8004
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=100,0.7764,0.8
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=200,0.7867,0.8
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=150,0.7752,0.7996
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=100,0.7856,0.7991
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=200,0.7878,0.7983
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=150,0.7924,0.7973
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=100,0.7867,0.7969
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=100,0.7856,0.7961
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=150,0.7936,0.7959
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=100,0.7787,0.7958
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=150,0.7924,0.7955
